Memory Utilization (%),
1512712268,0
1512712278,0
1512712288,0
1512712298,0
1512712308,0
1512712318,0
1512712328,0
1512712338,0
1512712348,0
1512712358,0
1512712368,0
1512712378,0
1512712388,0
1512712398,0
1512712408,0
1512712418,0
1512712428,0
1512712438,0
1512712448,0
1512712458,0
1512712468,0
1512712478,0
1512712488,0
1512712498,0
1512712508,0
1512712518,0
1512712528,0
1512712538,0
1512712548,0
1512712558,0
1512712568,0
1512712578,0
1512712588,0
1512712598,0
1512712608,0
1512712618,0
1512712628,0
1512712638,0
1512712648,0
1512712658,0
1512712668,0
1512712678,0
1512712688,0
1512712698,0
1512712708,0
1512712718,0
1512712728,0
1512712738,0
1512712748,0
1512712758,0
1512712768,0
1512712778,0
1512712788,0
1512712798,0
1512712808,0
1512712818,0
1512712828,0
1512712838,0
1512712848,0
1512712858,0
1512712868,0
1512712878,0
1512712888,0
1512712898,0
1512712908,0
1512712918,0
1512712928,0
1512712938,0
1512712948,0
1512712958,0
1512712968,0
1512712978,0
1512712988,0
1512712998,0
1512713008,0
1512713018,0
1512713028,0
1512713038,0
1512713048,0
1512713058,0
1512713068,0
1512713078,0
1512713088,0
1512713098,0
1512713108,0
1512713118,0
1512713128,0
1512713138,0
1512713148,0
1512713158,0
1512713168,0
1512713178,0
1512713188,0
1512713198,0
1512713208,39.56639566
1512713218,93.00911854
1512713228,93.00911854
1512713238,93.00911854
1512713248,93.00911854
1512713258,93.00911854
1512713268,93.00911854
1512713278,93.00911854
1512713288,93.00911854
1512713298,93.00911854
1512713308,93.00911854
1512713318,93.00911854
1512713328,93.00911854
1512713338,93.00911854
1512713348,93.00911854
1512713358,93.00911854
1512713368,93.00911854
1512713378,93.00911854
1512713388,93.00911854
1512713398,93.00911854
1512713408,93.00911854
1512713418,93.00911854
1512713428,93.00911854
1512713438,93.00911854
1512713448,93.00911854
1512713458,93.00911854
1512713468,93.00911854
1512713478,93.00911854
1512713488,93.00911854
1512713498,93.00911854
1512713508,93.00911854
1512713518,93.00911854
1512713528,93.00911854
1512713538,93.00911854
1512713548,93.00911854
1512713558,93.00911854
1512713568,93.00911854
1512713578,93.00911854
1512713588,93.00911854
1512713598,93.00911854
1512713608,100
1512713618,100
1512713628,100
1512713638,100
1512713648,100
1512713658,100
1512713668,100
1512713678,100
1512713688,100
1512713698,100
1512713708,100
1512713718,100
1512713728,100
1512713738,100
1512713748,100
1512713758,100
1512713768,100
1512713778,100
1512713788,100
1512713798,100
1512713808,100
1512713818,100
1512713828,100
1512713838,100
1512713848,100
1512713858,100
1512713868,100
1512713878,100
1512713888,100
1512713898,100
1512713908,100
1512713918,100
1512713928,100
1512713938,100
1512713948,100
1512713958,100
1512713968,100
1512713978,100
1512713988,100
1512713998,100
1512714008,100
1512714018,100
1512714028,100
1512714038,100
1512714048,100
1512714058,100
1512714068,100
1512714078,100
1512714088,100
1512714098,100
1512714108,100
1512714118,100
1512714128,100
1512714138,100
1512714148,100
1512714158,100
1512714168,100
1512714178,100
1512714188,100
1512714198,100
1512714208,100
1512714218,100
1512714228,100
1512714238,100
1512714248,100
1512714258,100
1512714268,100
1512714278,100
1512714288,100
1512714298,100
1512714308,100
1512714318,100
1512714328,100
1512714338,100
1512714348,100
1512714358,100
1512714368,100
1512714378,100
1512714388,100
1512714398,100
1512714408,100
1512714418,100
1512714428,100
1512714438,100
1512714448,100
1512714458,100
1512714468,100
1512714478,100
1512714488,100
1512714498,100
1512714508,100
1512714518,100
1512714528,100
1512714538,100
1512714548,100
1512714558,100
1512714568,100
1512714578,100
1512714588,100
1512714598,100
1512714608,100
1512714618,100
1512714628,100
1512714638,100
1512714648,100
1512714658,100
1512714668,100
1512714678,100
1512714688,100
1512714698,100
1512714708,100
1512714718,100
1512714728,100
1512714738,100
1512714748,100
1512714758,100
1512714768,100
1512714778,100
1512714788,100
1512714798,100
1512714808,100
1512714818,100
1512714828,100
1512714838,100
1512714848,100
1512714858,100
1512714868,100
1512714878,100
1512714888,100
1512714898,100
1512714908,100
1512714918,100
1512714928,100
1512714938,100
1512714948,100
1512714958,100
1512714968,100
1512714978,100
1512714988,100
1512714998,100
1512715008,100
1512715018,100
1512715028,100
1512715038,100
1512715048,100
1512715058,100
1512715068,100
1512715078,100
1512715088,100
1512715098,100
1512715108,100
1512715118,100
1512715128,100
1512715138,100
1512715148,100
1512715158,100
1512715168,100
1512715178,100
1512715188,100
1512715198,100
1512715208,100
1512715218,100
1512715228,100
1512715238,100
1512715248,100
1512715258,100
1512715268,100
1512715278,100
1512715288,100
1512715298,100
1512715308,100
1512715318,100
1512715328,100
1512715338,100
1512715348,100
1512715358,100
1512715368,100
1512715378,100
1512715388,100
1512715398,100
1512715408,100
1512715418,100
1512715428,100
1512715438,100
1512715448,100
1512715458,100
1512715468,100
1512715478,100
1512715488,100
1512715498,100
1512715508,100
1512715518,100
1512715528,100
1512715538,100
1512715548,100
1512715558,100
1512715568,100
1512715578,100
1512715588,100
1512715598,100
1512715608,100
1512715618,100
1512715628,100
1512715638,100
1512715648,100
1512715658,100
1512715668,100
1512715678,100
1512715688,100
1512715698,100
1512715708,100
1512715718,100
1512715728,100
1512715738,100
1512715748,100
1512715758,100
1512715768,100
1512715778,100
1512715788,100
1512715798,100
1512715808,100
1512715818,100
1512715828,100
1512715838,100
1512715848,100
1512715858,100
1512715868,100
1512715878,100
1512715888,100
1512715898,100
1512715908,100
1512715918,100
1512715928,100
1512715938,100
1512715948,100
1512715958,100
1512715968,100
1512715978,100
1512715988,100
1512715998,100
1512716008,100
1512716018,100
1512716028,100
1512716038,100
1512716048,100
1512716058,100
1512716068,100
1512716078,100
1512716088,100
1512716098,100
1512716108,100
1512716118,100
1512716128,100
1512716138,100
1512716148,100
1512716158,100
1512716168,100
1512716178,100
1512716188,97.70491803
1512716198,90.5775076
1512716208,0.59347181
1512716218,0.59347181
1512716228,0.59347181
1512716238,0.59347181
1512716248,0.59347181
1512716258,0.59347181
1512716268,0.59347181
1512716278,0.59347181
1512716288,0.59347181
1512716298,0.59347181
1512716308,0.59347181
1512716318,0
1512716328,0
1512716338,0
1512716348,0
1512716358,0
1512716368,0
1512716378,0
1512716388,0
1512716398,0
1512716408,0
1512716418,0
1512716428,0
1512716438,0
1512716448,0
1512716458,0
1512716468,0
1512716478,0
1512716488,0
1512716498,0
1512716508,0
1512716518,0
1512716528,0
1512716538,0
1512716548,0
1512716558,0
1512716568,0
1512716578,0
1512716588,0
1512716598,0
1512716608,0
1512716618,0
1512716628,0
1512716638,0
1512716648,0
1512716658,0
1512716668,0
1512716678,0
1512716688,0
1512716698,0
1512716708,0
1512716718,0
1512716728,0
1512716738,0
1512716748,0
1512716758,0
1512716768,0
1512716778,0
1512716788,0
1512716798,0
1512716808,0
1512716818,0
1512716828,0
1512716838,0
1512716848,0
1512716858,0
1512716868,0
1512716878,0
1512716888,0
1512716898,0
1512716908,0
1512716918,0
1512716928,0
1512716938,0
1512716948,0
1512716958,0
1512716968,0
1512716978,0
1512716988,0
1512716998,0
1512717008,0
1512717018,0
1512717028,0
1512717038,0
1512717048,0
1512717058,0
1512717068,0
1512717078,0
1512717088,0
1512717098,0
1512717108,0
1512717118,0
1512717128,0
1512717138,0
1512717148,0
1512717158,0
1512717168,0
1512717178,0
1512717188,0
1512717198,0
1512717208,0
1512717218,0
1512717228,0
1512717238,0
1512717248,0
1512717258,0
1512717268,0
1512717278,0
1512717288,0
1512717298,0
1512717308,0
1512717318,0
1512717328,0
1512717338,0
1512717348,0
